Protein,Model,HR_95CI,P,FDR,HR,lower,upper
RAPGEF2,Model 1,"1.08(0.98,1.20)",0.124044096,0.186417272,1.08,0.98,1.2
RARRES1,Model 1,"1.16(1.02,1.32)",0.025355804,0.046043873,1.16,1.02,1.32
RARRES2,Model 1,"1.35(1.23,1.48)",8.38E-11,4.64E-10,1.35,1.23,1.48
RASA1,Model 1,"0.94(0.82,1.09)",0.436938641,0.534326565,0.94,0.82,1.09
RASGRF1,Model 1,"1.05(0.92,1.20)",0.439466425,0.536472392,1.05,0.92,1.2
RASSF2,Model 1,"1.28(1.20,1.37)",2.47E-14,1.76E-13,1.28,1.2,1.37
RBFOX3,Model 1,"1.69(1.53,1.88)",2.08E-23,2.44E-22,1.69,1.53,1.88
RBKS,Model 1,"1.24(1.13,1.36)",6.30E-06,2.15E-05,1.24,1.13,1.36
RBM17,Model 1,"1.14(1.06,1.22)",0.000300604,0.000806028,1.14,1.06,1.22
RBM19,Model 1,"1.24(1.12,1.37)",3.74E-05,0.000115905,1.24,1.12,1.37
RBM25,Model 1,"1.04(0.92,1.18)",0.542203013,0.637115814,1.04,0.92,1.18
RBP1,Model 1,"1.08(1.01,1.16)",0.031786667,0.056389471,1.08,1.01,1.16
RBP2,Model 1,"1.19(1.12,1.26)",4.01E-09,1.96E-08,1.19,1.12,1.26
RBP5,Model 1,"1.47(1.36,1.59)",4.22E-23,4.90E-22,1.47,1.36,1.59
RBP7,Model 1,"1.16(1.07,1.25)",0.000505295,0.001309195,1.16,1.07,1.25
RBPMS,Model 1,"1.07(0.99,1.16)",0.096306171,0.15046229,1.07,0.99,1.16
RBPMS2,Model 1,"1.03(0.98,1.09)",0.284099577,0.376222569,1.03,0.98,1.09
RCC1,Model 1,"1.30(1.20,1.41)",4.13E-10,2.19E-09,1.3,1.2,1.41
RCOR1,Model 1,"1.27(1.17,1.38)",9.48E-09,4.43E-08,1.27,1.17,1.38
RECK,Model 1,"1.04(0.80,1.37)",0.756536117,0.819393718,1.04,0.8,1.37
REEP4,Model 1,"1.12(1.03,1.22)",0.00594499,0.012588376,1.12,1.03,1.22
REG1A,Model 1,"1.42(1.31,1.55)",1.79E-16,1.45E-15,1.42,1.31,1.55
REG1B,Model 1,"1.32(1.23,1.42)",4.05E-14,2.88E-13,1.32,1.23,1.42
REG3A,Model 1,"1.36(1.28,1.46)",5.33E-20,5.27E-19,1.36,1.28,1.46
REG3G,Model 1,"1.07(0.94,1.23)",0.302867744,0.395692981,1.07,0.94,1.23
REG4,Model 1,"1.35(1.23,1.47)",5.16E-11,2.92E-10,1.35,1.23,1.47
RELB,Model 1,"1.08(0.97,1.20)",0.179999022,0.256014196,1.08,0.97,1.2
RELT,Model 1,"3.45(3.03,3.92)",2.80E-78,2.40E-76,3.45,3.03,3.92
REN,Model 1,"1.16(1.10,1.23)",5.09E-08,2.22E-07,1.16,1.1,1.23
REPS1,Model 1,"1.18(1.03,1.36)",0.014819297,0.028655138,1.18,1.03,1.36
REST,Model 1,"0.96(0.81,1.13)",0.588062378,0.678176202,0.96,0.81,1.13
RET,Model 1,"0.80(0.71,0.91)",0.000407653,0.001072383,0.8,0.71,0.91
RETN,Model 1,"1.45(1.31,1.60)",1.09E-12,7.04E-12,1.45,1.31,1.6
REXO2,Model 1,"0.92(0.81,1.04)",0.175405,0.250701223,0.92,0.81,1.04
RFC4,Model 1,"1.86(1.49,2.31)",3.12E-08,1.40E-07,1.86,1.49,2.31
RGCC,Model 1,"0.97(0.91,1.05)",0.451201192,0.548504363,0.97,0.91,1.05
RGL2,Model 1,"1.00(0.92,1.10)",0.922363528,0.945018071,1,0.92,1.1
RGMA,Model 1,"0.98(0.85,1.14)",0.812919209,0.863172396,0.98,0.85,1.14
RGMB,Model 1,"1.64(1.39,1.94)",7.52E-09,3.55E-08,1.64,1.39,1.94
RGS10,Model 1,"1.05(0.96,1.15)",0.275697947,0.367261863,1.05,0.96,1.15
RGS8,Model 1,"1.00(0.93,1.08)",0.999182167,0.999182167,1,0.93,1.08
RHOC,Model 1,"1.02(0.98,1.07)",0.241396825,0.328308677,1.02,0.98,1.07
RICTOR,Model 1,"0.95(0.84,1.07)",0.375032209,0.471321402,0.95,0.84,1.07
RIDA,Model 1,"1.35(1.22,1.50)",1.29E-08,5.97E-08,1.35,1.22,1.5
RILP,Model 1,"1.20(1.11,1.29)",2.66E-06,9.37E-06,1.2,1.11,1.29
RILPL2,Model 1,"0.96(0.91,1.02)",0.164737492,0.237664761,0.96,0.91,1.02
RIPK4,Model 1,"1.01(0.93,1.10)",0.753968604,0.81691589,1.01,0.93,1.1
RLN1,Model 1,"0.97(0.88,1.08)",0.601689151,0.689428169,0.97,0.88,1.08
RLN2,Model 1,"1.06(1.00,1.13)",0.050147162,0.084251849,1.06,1,1.13
RNASE1,Model 1,"1.89(1.62,2.21)",1.34E-15,1.06E-14,1.89,1.62,2.21
RNASE10,Model 1,"1.27(1.14,1.41)",6.51E-06,2.21E-05,1.27,1.14,1.41
RNASE3,Model 1,"1.02(0.98,1.06)",0.446556925,0.543552332,1.02,0.98,1.06
RNASE4,Model 1,"1.83(1.55,2.16)",1.10E-12,7.05E-12,1.83,1.55,2.16
RNASE6,Model 1,"1.90(1.72,2.09)",1.92E-38,4.30E-37,1.9,1.72,2.09
RNASEH2A,Model 1,"1.03(0.93,1.15)",0.578383069,0.66822199,1.03,0.93,1.15
RNASET2,Model 1,"2.97(2.66,3.32)",4.74E-82,4.47E-80,2.97,2.66,3.32
RNF149,Model 1,"2.40(2.13,2.70)",5.29E-46,1.62E-44,2.4,2.13,2.7
RNF168,Model 1,"1.20(1.06,1.36)",0.003927028,0.008660816,1.2,1.06,1.36
RNF31,Model 1,"0.92(0.78,1.08)",0.299476532,0.392139674,0.92,0.78,1.08
RNF4,Model 1,"1.04(0.96,1.13)",0.328742938,0.422318249,1.04,0.96,1.13
RNF41,Model 1,"1.11(1.04,1.19)",0.003181737,0.007134124,1.11,1.04,1.19
RNF43,Model 1,"0.95(0.86,1.05)",0.315513771,0.408377753,0.95,0.86,1.05
RNF5,Model 1,"1.03(0.95,1.11)",0.484143784,0.581530172,1.03,0.95,1.11
ROBO1,Model 1,"2.41(2.02,2.86)",1.91E-23,2.24E-22,2.41,2.02,2.86
ROBO2,Model 1,"1.43(1.17,1.74)",0.000529691,0.001368759,1.43,1.17,1.74
ROBO4,Model 1,"1.98(1.44,2.71)",2.19E-05,7.02E-05,1.98,1.44,2.71
ROR1,Model 1,"2.15(1.86,2.49)",9.00E-25,1.12E-23,2.15,1.86,2.49
RP2,Model 1,"1.10(0.99,1.23)",0.08910244,0.141018495,1.1,0.99,1.23
RPA2,Model 1,"1.39(1.19,1.62)",2.59E-05,8.23E-05,1.39,1.19,1.62
RPE,Model 1,"1.11(1.03,1.19)",0.006473046,0.013578516,1.11,1.03,1.19
RPGR,Model 1,"1.11(0.97,1.26)",0.121805032,0.183335409,1.11,0.97,1.26
RPL14,Model 1,"1.57(1.41,1.75)",5.47E-16,4.35E-15,1.57,1.41,1.75
RPS10,Model 1,"1.04(0.91,1.19)",0.585378195,0.675881507,1.04,0.91,1.19
RRAS,Model 1,"1.02(0.98,1.07)",0.335075546,0.42913184,1.02,0.98,1.07
RRM2,Model 1,"1.53(1.45,1.62)",3.56E-53,1.51E-51,1.53,1.45,1.62
RRM2B,Model 1,"1.11(1.03,1.19)",0.005186208,0.011151493,1.11,1.03,1.19
RRP15,Model 1,"1.03(0.97,1.10)",0.284644654,0.376773523,1.03,0.97,1.1
RSPO1,Model 1,"1.43(1.26,1.64)",7.70E-08,3.31E-07,1.43,1.26,1.64
RSPO3,Model 1,"2.08(1.79,2.43)",8.86E-21,9.18E-20,2.08,1.79,2.43
RTBDN,Model 1,"1.33(1.14,1.55)",0.000317336,0.000847004,1.33,1.14,1.55
RTKN2,Model 1,"1.08(0.98,1.20)",0.136453645,0.202256164,1.08,0.98,1.2
RTN4IP1,Model 1,"1.12(1.05,1.18)",0.000284118,0.000765337,1.12,1.05,1.18
RTN4R,Model 1,"1.38(1.21,1.57)",8.39E-07,3.20E-06,1.38,1.21,1.57
RUVBL1,Model 1,"0.98(0.93,1.02)",0.305628535,0.398230845,0.98,0.93,1.02
RWDD1,Model 1,"1.12(1.04,1.21)",0.001842688,0.004318338,1.12,1.04,1.21
RYR1,Model 1,"0.87(0.73,1.03)",0.110316975,0.168563875,0.87,0.73,1.03
S100A11,Model 1,"1.15(1.05,1.26)",0.002025282,0.004719731,1.15,1.05,1.26
S100A12,Model 1,"1.06(0.99,1.12)",0.088299369,0.139899163,1.06,0.99,1.12
S100A13,Model 1,"1.39(1.21,1.61)",5.80E-06,1.98E-05,1.39,1.21,1.61
S100A14,Model 1,"1.09(0.98,1.20)",0.114287034,0.173450177,1.09,0.98,1.2
S100A16,Model 1,"1.07(0.99,1.16)",0.067534194,0.109799469,1.07,0.99,1.16
S100A3,Model 1,"1.15(1.04,1.27)",0.007791987,0.01603425,1.15,1.04,1.27
S100A4,Model 1,"1.05(0.97,1.14)",0.264932824,0.354367387,1.05,0.97,1.14
S100G,Model 1,"1.14(1.02,1.28)",0.020141497,0.037821975,1.14,1.02,1.28
S100P,Model 1,"1.08(1.00,1.18)",0.053456287,0.089144694,1.08,1,1.18
SAA4,Model 1,"1.04(0.88,1.24)",0.632259049,0.716969485,1.04,0.88,1.24
SAFB2,Model 1,"1.66(1.44,1.92)",1.03E-11,6.17E-11,1.66,1.44,1.92
SAG,Model 1,"0.92(0.82,1.03)",0.15962065,0.232345601,0.92,0.82,1.03
SAMD9L,Model 1,"1.12(1.05,1.19)",0.000539697,0.001390921,1.12,1.05,1.19
SAP18,Model 1,"0.97(0.90,1.05)",0.440640909,0.537681343,0.97,0.9,1.05
SARG,Model 1,"1.01(0.96,1.06)",0.844448302,0.885064265,1.01,0.96,1.06
SART1,Model 1,"1.60(1.47,1.74)",2.94E-28,4.19E-27,1.6,1.47,1.74
SAT1,Model 1,"0.98(0.87,1.10)",0.707844251,0.782029971,0.98,0.87,1.1
SAT2,Model 1,"1.00(0.92,1.08)",0.945183476,0.961838868,1,0.92,1.08
SATB1,Model 1,"0.97(0.80,1.17)",0.727949907,0.797114342,0.97,0.8,1.17
SBSN,Model 1,"1.13(0.96,1.32)",0.137100537,0.202945428,1.13,0.96,1.32
SCAMP3,Model 1,"1.18(1.11,1.24)",2.74E-09,1.37E-08,1.18,1.11,1.24
SCARA5,Model 1,"1.21(1.04,1.41)",0.015825693,0.030262622,1.21,1.04,1.41
SCARB1,Model 1,"0.94(0.86,1.03)",0.176055944,0.251316699,0.94,0.86,1.03
SCARB2,Model 1,"2.83(2.52,3.19)",9.09E-67,6.04E-65,2.83,2.52,3.19
SCARF1,Model 1,"1.62(1.46,1.80)",1.40E-19,1.35E-18,1.62,1.46,1.8
SCARF2,Model 1,"2.02(1.73,2.36)",1.08E-18,9.83E-18,2.02,1.73,2.36
SCG2,Model 1,"1.35(1.17,1.55)",4.01E-05,0.000123382,1.35,1.17,1.55
SCG3,Model 1,"1.11(0.97,1.28)",0.127091278,0.190311043,1.11,0.97,1.28
SCGB1A1,Model 1,"1.23(1.13,1.35)",2.15E-06,7.67E-06,1.23,1.13,1.35
SCGB2A2,Model 1,"1.05(0.88,1.25)",0.586889087,0.677090531,1.05,0.88,1.25
SCGB3A1,Model 1,"1.72(1.39,2.11)",4.07E-07,1.60E-06,1.72,1.39,2.11
SCGB3A2,Model 1,"1.04(0.99,1.10)",0.138355369,0.204142334,1.04,0.99,1.1
SCGN,Model 1,"1.18(1.06,1.32)",0.001816995,0.004264971,1.18,1.06,1.32
SCIN,Model 1,"0.98(0.90,1.06)",0.545464487,0.639404377,0.98,0.9,1.06
SCLY,Model 1,"1.29(1.17,1.42)",1.34E-07,5.56E-07,1.29,1.17,1.42
SCN2A,Model 1,"1.05(0.94,1.18)",0.386136994,0.483084843,1.05,0.94,1.18
SCN2B,Model 1,"0.89(0.73,1.10)",0.289580009,0.38169674,0.89,0.73,1.1
SCN3A,Model 1,"0.94(0.80,1.11)",0.487033262,0.584039887,0.94,0.8,1.11
SCN3B,Model 1,"1.14(1.02,1.27)",0.021216419,0.039535383,1.14,1.02,1.27
SCN4B,Model 1,"1.12(0.98,1.27)",0.100209831,0.155727891,1.12,0.98,1.27
SCP2,Model 1,"0.92(0.86,0.99)",0.020931665,0.039104582,0.92,0.86,0.99
SCPEP1,Model 1,"1.32(1.19,1.47)",4.68E-07,1.84E-06,1.32,1.19,1.47
SCRG1,Model 1,"1.38(1.15,1.66)",0.000676587,0.001716451,1.38,1.15,1.66
SCRIB,Model 1,"1.05(0.99,1.11)",0.121509288,0.18307901,1.05,0.99,1.11
SCRN1,Model 1,"1.21(1.12,1.31)",3.16E-06,1.10E-05,1.21,1.12,1.31
SCT,Model 1,"0.84(0.75,0.95)",0.006370512,0.013411604,0.84,0.75,0.95
SDC1,Model 1,"1.82(1.65,2.01)",3.11E-32,5.50E-31,1.82,1.65,2.01
SDC4,Model 1,"0.55(0.50,0.60)",2.56E-34,4.98E-33,0.55,0.5,0.6
SDCCAG8,Model 1,"1.04(0.99,1.09)",0.083651952,0.13355041,1.04,0.99,1.09
SDHB,Model 1,"1.08(1.00,1.17)",0.058618505,0.096813368,1.08,1,1.17
SDK2,Model 1,"1.93(1.74,2.14)",4.85E-37,1.03E-35,1.93,1.74,2.14
SEC31A,Model 1,"1.10(1.02,1.18)",0.014537049,0.028204773,1.1,1.02,1.18
SEL1L,Model 1,"1.70(1.55,1.86)",6.97E-29,1.03E-27,1.7,1.55,1.86
SELE,Model 1,"1.21(1.11,1.33)",3.73E-05,0.000115521,1.21,1.11,1.33
SELENOP,Model 1,"0.53(0.41,0.68)",5.12E-07,2.00E-06,0.53,0.41,0.68
SELL,Model 1,"3.16(2.62,3.81)",4.11E-33,7.64E-32,3.16,2.62,3.81
SELP,Model 1,"1.12(1.03,1.21)",0.006672791,0.013967419,1.12,1.03,1.21
SELPLG,Model 1,"0.94(0.79,1.11)",0.439128063,0.536283539,0.94,0.79,1.11
SEMA3F,Model 1,"2.33(1.96,2.77)",2.88E-22,3.24E-21,2.33,1.96,2.77
SEMA3G,Model 1,"1.48(1.31,1.66)",3.80E-11,2.18E-10,1.48,1.31,1.66
SEMA4C,Model 1,"1.40(1.22,1.60)",1.13E-06,4.20E-06,1.4,1.22,1.6
SEMA4D,Model 1,"1.68(1.44,1.97)",7.19E-11,4.01E-10,1.68,1.44,1.97
SEMA6C,Model 1,"1.16(0.95,1.42)",0.133957673,0.19916314,1.16,0.95,1.42
SEMA7A,Model 1,"3.30(3.00,3.64)",7.62E-128,1.71E-125,3.3,3,3.64
SEPTIN3,Model 1,"0.91(0.85,0.98)",0.018023492,0.034085878,0.91,0.85,0.98
SEPTIN7,Model 1,"1.11(1.01,1.22)",0.027435678,0.049421456,1.11,1.01,1.22
SEPTIN8,Model 1,"2.23(1.97,2.53)",1.07E-35,2.17E-34,2.23,1.97,2.53
SEPTIN9,Model 1,"1.70(1.48,1.94)",8.04E-15,5.92E-14,1.7,1.48,1.94
SERPINA1,Model 1,"2.96(1.68,5.19)",0.000160351,0.000446779,2.96,1.68,5.19
SERPINA11,Model 1,"1.19(1.06,1.33)",0.002779627,0.006311439,1.19,1.06,1.33
SERPINA12,Model 1,"0.99(0.95,1.04)",0.688410587,0.76256125,0.99,0.95,1.04
SERPINA3,Model 1,"2.57(1.96,3.36)",5.85E-12,3.56E-11,2.57,1.96,3.36
SERPINA4,Model 1,"0.64(0.51,0.81)",0.000220029,0.000600454,0.64,0.51,0.81
SERPINA5,Model 1,"0.87(0.73,1.05)",0.137127167,0.202945428,0.87,0.73,1.05
SERPINA6,Model 1,"1.06(0.76,1.48)",0.738358248,0.804964945,1.06,0.76,1.48
SERPINA7,Model 1,"1.47(1.10,1.97)",0.010171409,0.020426764,1.47,1.1,1.97
SERPINA9,Model 1,"1.21(1.14,1.29)",4.96E-09,2.40E-08,1.21,1.14,1.29
SERPINB1,Model 1,"1.06(1.00,1.11)",0.033891191,0.059508284,1.06,1,1.11
SERPINB5,Model 1,"1.01(0.91,1.11)",0.863865649,0.898962115,1.01,0.91,1.11
SERPINB6,Model 1,"1.13(1.04,1.22)",0.003183481,0.007134124,1.13,1.04,1.22
SERPINB8,Model 1,"1.29(1.22,1.37)",4.94E-17,4.17E-16,1.29,1.22,1.37
SERPINB9,Model 1,"1.15(1.00,1.32)",0.057363004,0.094954632,1.15,1,1.32
SERPINC1,Model 1,"1.01(0.70,1.46)",0.945646271,0.961838868,1.01,0.7,1.46
SERPIND1,Model 1,"0.97(0.80,1.18)",0.767565232,0.828573189,0.97,0.8,1.18
SERPINE1,Model 1,"1.00(0.94,1.08)",0.903730059,0.930826021,1,0.94,1.08
SERPINE2,Model 1,"1.04(0.95,1.13)",0.418278159,0.516218185,1.04,0.95,1.13
SERPINF1,Model 1,"1.29(1.05,1.58)",0.014527964,0.028204773,1.29,1.05,1.58
SERPINF2,Model 1,"0.89(0.60,1.34)",0.590440497,0.679844736,0.89,0.6,1.34
SERPING1,Model 1,"1.08(0.80,1.45)",0.617845663,0.703630786,1.08,0.8,1.45
SERPINH1,Model 1,"1.09(1.04,1.14)",0.000107037,0.000307626,1.09,1.04,1.14
SERPINI1,Model 1,"1.25(1.04,1.50)",0.016406894,0.031312504,1.25,1.04,1.5
SERPINI2,Model 1,"1.03(0.94,1.14)",0.504445623,0.601953911,1.03,0.94,1.14
SESTD1,Model 1,"0.98(0.91,1.06)",0.653042392,0.73341684,0.98,0.91,1.06
SETMAR,Model 1,"1.68(1.46,1.94)",6.24E-13,4.09E-12,1.68,1.46,1.94
SEZ6,Model 1,"0.98(0.81,1.18)",0.815004178,0.86475734,0.98,0.81,1.18
SEZ6L,Model 1,"1.10(0.93,1.30)",0.282398329,0.374393544,1.1,0.93,1.3
SEZ6L2,Model 1,"1.50(1.24,1.81)",3.04E-05,9.57E-05,1.5,1.24,1.81
SF3B4,Model 1,"1.08(1.01,1.14)",0.022205883,0.041012764,1.08,1.01,1.14
SFRP1,Model 1,"1.14(1.03,1.27)",0.015139617,0.02916074,1.14,1.03,1.27
SFRP4,Model 1,"1.24(1.08,1.42)",0.002069813,0.004815821,1.24,1.08,1.42
SFTPA1,Model 1,"1.04(0.96,1.13)",0.32655828,0.420622045,1.04,0.96,1.13
SFTPA2,Model 1,"1.34(1.23,1.46)",3.34E-12,2.09E-11,1.34,1.23,1.46
SFTPD,Model 1,"1.07(0.99,1.14)",0.071992921,0.11672367,1.07,0.99,1.14
SGSH,Model 1,"1.14(1.03,1.25)",0.007975281,0.016388333,1.14,1.03,1.25
SH2B3,Model 1,"1.03(0.98,1.08)",0.220499816,0.304137678,1.03,0.98,1.08
SH2D1A,Model 1,"1.25(1.17,1.34)",2.94E-11,1.71E-10,1.25,1.17,1.34
SH3BGRL2,Model 1,"0.98(0.89,1.07)",0.606339852,0.69295983,0.98,0.89,1.07
SH3BP1,Model 1,"1.14(1.03,1.26)",0.012587493,0.024834783,1.14,1.03,1.26
SH3GL3,Model 1,"1.01(0.94,1.08)",0.852972405,0.891111387,1.01,0.94,1.08
SH3GLB2,Model 1,"1.10(1.02,1.19)",0.016644082,0.031723708,1.1,1.02,1.19
SHBG,Model 1,"1.10(0.98,1.22)",0.103385791,0.159897516,1.1,0.98,1.22
SHC1,Model 1,"0.97(0.92,1.02)",0.175180107,0.250625141,0.97,0.92,1.02
SHD,Model 1,"1.05(0.99,1.12)",0.084830957,0.135063464,1.05,0.99,1.12
SHH,Model 1,"1.00(0.88,1.14)",0.989416786,0.993158135,1,0.88,1.14
SHISA5,Model 1,"2.63(2.35,2.94)",2.39E-63,1.40E-61,2.63,2.35,2.94
SHMT1,Model 1,"1.04(0.99,1.10)",0.144267155,0.212008098,1.04,0.99,1.1
SHPK,Model 1,"0.98(0.85,1.12)",0.758951379,0.820791861,0.98,0.85,1.12
SIAE,Model 1,"1.38(1.26,1.53)",7.00E-11,3.92E-10,1.38,1.26,1.53
SIGLEC1,Model 1,"1.94(1.75,2.14)",2.92E-38,6.51E-37,1.94,1.75,2.14
SIGLEC10,Model 1,"3.40(3.11,3.72)",6.49E-155,2.71E-152,3.4,3.11,3.72
SIGLEC15,Model 1,"0.98(0.92,1.04)",0.504425537,0.601953911,0.98,0.92,1.04
SIGLEC5,Model 1,"1.23(1.17,1.30)",1.76E-16,1.43E-15,1.23,1.17,1.3
SIGLEC6,Model 1,"2.50(2.24,2.80)",1.15E-57,5.71E-56,2.5,2.24,2.8
SIGLEC7,Model 1,"1.74(1.49,2.04)",6.02E-12,3.66E-11,1.74,1.49,2.04
SIGLEC8,Model 1,"1.72(1.52,1.94)",1.52E-18,1.37E-17,1.72,1.52,1.94
SIGLEC9,Model 1,"1.53(1.30,1.79)",1.55E-07,6.40E-07,1.53,1.3,1.79
SIL1,Model 1,"1.11(0.95,1.30)",0.205071838,0.287198929,1.11,0.95,1.3
SIRPA,Model 1,"1.24(1.14,1.36)",9.13E-07,3.46E-06,1.24,1.14,1.36
SIRPB1,Model 1,"1.98(1.80,2.18)",3.80E-44,1.07E-42,1.98,1.8,2.18
SIRT1,Model 1,"1.08(1.02,1.14)",0.013604534,0.026607662,1.08,1.02,1.14
SIRT2,Model 1,"1.10(1.05,1.17)",0.0002331,0.000633164,1.1,1.05,1.17
SIRT5,Model 1,"0.97(0.89,1.06)",0.540483816,0.635967891,0.97,0.89,1.06
SIT1,Model 1,"1.17(1.07,1.27)",0.00033688,0.000894262,1.17,1.07,1.27
SKAP1,Model 1,"0.95(0.89,1.01)",0.103768341,0.160319342,0.95,0.89,1.01
SKAP2,Model 1,"1.01(0.96,1.05)",0.713258838,0.78576043,1.01,0.96,1.05
SKIV2L,Model 1,"1.03(0.90,1.19)",0.654342432,0.734594349,1.03,0.9,1.19
SLA2,Model 1,"0.99(0.94,1.04)",0.670469082,0.746955254,0.99,0.94,1.04
SLAMF1,Model 1,"1.70(1.57,1.84)",3.86E-40,9.32E-39,1.7,1.57,1.84
SLAMF6,Model 1,"2.66(2.44,2.90)",2.78E-112,4.77E-110,2.66,2.44,2.9
SLAMF7,Model 1,"1.55(1.43,1.67)",3.88E-30,6.23E-29,1.55,1.43,1.67
SLAMF8,Model 1,"1.81(1.65,1.97)",2.40E-39,5.61E-38,1.81,1.65,1.97
SLC12A2,Model 1,"1.09(0.90,1.33)",0.375120185,0.471321402,1.09,0.9,1.33
SLC13A1,Model 1,"1.03(0.95,1.13)",0.471764147,0.568766023,1.03,0.95,1.13
SLC16A1,Model 1,"1.20(1.12,1.29)",6.49E-07,2.49E-06,1.2,1.12,1.29
SLC1A4,Model 1,"1.01(0.91,1.13)",0.795008938,0.849405817,1.01,0.91,1.13
SLC27A4,Model 1,"1.08(1.01,1.16)",0.024527358,0.044790422,1.08,1.01,1.16
SLC28A1,Model 1,"1.03(0.94,1.13)",0.564991489,0.656496279,1.03,0.94,1.13
SLC34A3,Model 1,"1.01(0.90,1.14)",0.823920683,0.870422719,1.01,0.9,1.14
SLC39A14,Model 1,"1.39(1.23,1.56)",1.32E-07,5.51E-07,1.39,1.23,1.56
SLC39A5,Model 1,"1.11(1.02,1.21)",0.011473411,0.022837328,1.11,1.02,1.21
SLC44A4,Model 1,"0.97(0.89,1.06)",0.475484158,0.572777946,0.97,0.89,1.06
SLC4A1,Model 1,"1.02(0.91,1.14)",0.786870218,0.843178362,1.02,0.91,1.14
SLC51B,Model 1,"1.00(0.93,1.08)",0.956492015,0.968431583,1,0.93,1.08
SLC9A3R1,Model 1,"1.05(0.99,1.13)",0.1162277,0.175756024,1.05,0.99,1.13
SLC9A3R2,Model 1,"1.25(1.15,1.36)",1.34E-07,5.56E-07,1.25,1.15,1.36
SLIRP,Model 1,"1.15(1.06,1.26)",0.001475789,0.003523553,1.15,1.06,1.26
SLIT2,Model 1,"1.17(1.08,1.27)",0.000250507,0.000679184,1.17,1.08,1.27
SLITRK1,Model 1,"0.93(0.78,1.10)",0.396613535,0.493152409,0.93,0.78,1.1
SLITRK2,Model 1,"1.34(1.19,1.50)",1.09E-06,4.08E-06,1.34,1.19,1.5
SLITRK6,Model 1,"1.28(1.12,1.46)",0.000362759,0.000959472,1.28,1.12,1.46
SLK,Model 1,"1.01(0.94,1.08)",0.758663228,0.820784226,1.01,0.94,1.08
SLMAP,Model 1,"1.11(1.04,1.18)",0.00145132,0.003473651,1.11,1.04,1.18
SLURP1,Model 1,"1.15(1.01,1.32)",0.041363343,0.070964137,1.15,1.01,1.32
SMAD1,Model 1,"1.02(0.96,1.08)",0.524774888,0.619629063,1.02,0.96,1.08
SMAD2,Model 1,"1.10(1.02,1.19)",0.016426376,0.031329208,1.1,1.02,1.19
SMAD3,Model 1,"1.20(1.08,1.33)",0.000628834,0.001600867,1.2,1.08,1.33
SMAD5,Model 1,"0.71(0.57,0.90)",0.003842636,0.008493943,0.71,0.57,0.9
SMARCA2,Model 1,"1.03(0.96,1.10)",0.451555742,0.548706936,1.03,0.96,1.1
SMC3,Model 1,"1.10(1.00,1.21)",0.050400438,0.084531464,1.1,1,1.21
SMNDC1,Model 1,"1.39(1.31,1.48)",1.27E-27,1.76E-26,1.39,1.31,1.48
SMOC1,Model 1,"2.09(1.82,2.39)",1.48E-26,1.94E-25,2.09,1.82,2.39
SMOC2,Model 1,"1.34(1.19,1.51)",1.52E-06,5.56E-06,1.34,1.19,1.51
SMPD1,Model 1,"1.19(1.08,1.30)",0.000288903,0.000775365,1.19,1.08,1.3
SMPD3,Model 1,"1.05(0.96,1.15)",0.280962724,0.373253482,1.05,0.96,1.15
SMPDL3A,Model 1,"0.98(0.91,1.05)",0.59035712,0.679844736,0.98,0.91,1.05
SMPDL3B,Model 1,"0.96(0.89,1.03)",0.27840616,0.370193984,0.96,0.89,1.03
SMS,Model 1,"1.06(0.97,1.15)",0.177146519,0.252572185,1.06,0.97,1.15
SMTN,Model 1,"1.02(0.96,1.08)",0.532015789,0.627671153,1.02,0.96,1.08
SNAP23,Model 1,"1.02(0.97,1.08)",0.369807863,0.465849421,1.02,0.97,1.08
SNAP25,Model 1,"1.04(0.92,1.17)",0.554871453,0.648349196,1.04,0.92,1.17
SNAP29,Model 1,"1.06(1.00,1.11)",0.032026761,0.056746446,1.06,1,1.11
SNAPIN,Model 1,"1.08(0.99,1.19)",0.091380433,0.144112428,1.08,0.99,1.19
SNCA,Model 1,"1.05(1.00,1.10)",0.060703018,0.099973386,1.05,1,1.1
SNCG,Model 1,"1.25(1.17,1.35)",6.26E-10,3.27E-09,1.25,1.17,1.35
SNED1,Model 1,"1.01(0.85,1.20)",0.895920849,0.926377082,1.01,0.85,1.2
SNRPB2,Model 1,"1.46(1.37,1.55)",2.09E-30,3.40E-29,1.46,1.37,1.55
SNU13,Model 1,"1.17(1.08,1.26)",5.64E-05,0.000170098,1.17,1.08,1.26
SNX15,Model 1,"1.24(1.13,1.37)",1.78E-05,5.80E-05,1.24,1.13,1.37
SNX18,Model 1,"1.10(0.97,1.24)",0.133745047,0.199109561,1.1,0.97,1.24
SNX2,Model 1,"1.17(1.10,1.24)",2.61E-07,1.05E-06,1.17,1.1,1.24
SNX5,Model 1,"1.43(1.20,1.69)",4.52E-05,0.000137774,1.43,1.2,1.69
SNX9,Model 1,"1.19(1.11,1.27)",3.86E-07,1.53E-06,1.19,1.11,1.27
SOD1,Model 1,"1.24(1.13,1.36)",6.99E-06,2.37E-05,1.24,1.13,1.36
SOD2,Model 1,"1.26(1.12,1.41)",0.000159233,0.000444087,1.26,1.12,1.41
SOD3,Model 1,"0.93(0.84,1.03)",0.175279371,0.25064435,0.93,0.84,1.03
SORBS1,Model 1,"1.17(1.03,1.32)",0.012304819,0.024309927,1.17,1.03,1.32
